Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Power_Index,Wear_Intensity,Thermal_Stress_Index,Failure Probability,Equipment Health Risk Index,Risk Level
298.5,309.7,2617,12.1,102,31665.7,1234.2,3747.37,1.0,100.0,Critical
299.0,310.3,1303,68.6,111,89385.79999999999,7614.599999999999,21286.579999999998,1.0,100.0,Critical
297.2,308.1,1340,61.3,207,82142.0,12689.099999999999,18886.53,0.9857142857142858,98.57142857142858,Critical
298.9,309.8,1287,61.9,216,79665.3,13370.4,19176.62,0.9703296703296704,97.03296703296704,Critical
297.2,307.9,1326,75.4,172,99980.40000000001,12968.800000000001,23215.66,0.9692304452666891,96.92304452666892,Critical
298.6,308.2,1361,68.2,172,92820.2,11730.4,21019.24,0.9672240802675585,96.72240802675584,Critical
299.6,310.9,1229,65.2,209,80130.8,13626.800000000001,20270.68,0.9529383659818442,95.29383659818443,Critical
297.4,308.8,1325,62.4,204,82680.0,12729.6,19269.12,0.9529383659818442,95.29383659818443,Critical
298.6,309.6,1344,59.4,200,79833.59999999999,11880.0,18390.24,0.8955957086391869,89.5595708639187,Critical
299.1,310.0,1367,56.3,203,76962.09999999999,11428.9,17453.0,0.8955957086391869,89.5595708639187,Critical
297.5,308.1,1334,72.0,151,96048.0,10872.0,22183.2,0.8883521991940635,88.83521991940636,Critical
299.4,310.8,1376,53.9,215,74166.4,11588.5,16752.12,0.8862716993151775,88.62716993151774,Critical
298.7,310.1,1402,69.7,64,97719.40000000001,4460.8,21613.97,0.8862716993151775,88.62716993151774,Critical
298.1,308.6,1354,53.9,207,72980.59999999999,11157.3,16633.54,0.8289290419725202,82.89290419725202,Critical
298.3,309.3,1337,56.1,206,75005.7,11556.6,17351.73,0.7963203463203462,79.63203463203462,Critical
297.4,308.9,1348,59.1,201,79666.8,11879.1,18255.989999999998,0.7963203463203462,79.63203463203462,Critical
298.5,309.5,1294,66.7,12,86309.8,800.4000000000001,20643.65,0.7891288421723204,78.91288421723203,Critical
299.1,310.2,1317,54.8,231,72171.59999999999,12658.8,16998.96,0.7622623753058535,76.22623753058535,Critical
297.3,308.3,1459,59.6,207,86956.40000000001,12337.2,18374.68,0.7276176973470132,72.76176973470132,Critical
297.3,308.1,1370,58.8,199,80556.0,11701.199999999999,18116.28,0.6827064838395742,68.27064838395742,High Risk
299.1,309.8,1398,55.4,217,77449.2,12021.8,17162.920000000002,0.6552380952380952,65.52380952380952,High Risk
298.5,309.4,1360,60.9,187,82824.0,11388.3,18842.46,0.6530186778268618,65.30186778268619,High Risk
298.7,309.8,1181,65.9,203,77827.90000000001,13377.7,20415.820000000003,0.6225424873506714,62.254248735067144,High Risk
299.0,309.9,1373,55.7,201,76476.1,11195.7,17261.43,0.5953545422334596,59.535454223345965,High Risk
298.3,309.3,1376,57.0,198,78432.0,11286.0,17630.100000000002,0.5426610644257702,54.26610644257702,High Risk
297.8,309.0,1403,64.2,0,90072.6,0.0,19837.8,0.5384045305010677,53.840453050106774,High Risk
299.2,310.3,1352,48.9,238,66112.8,11638.199999999999,15173.67,0.5176610644257702,51.76610644257702,High Risk
298.3,309.1,1296,58.7,201,76075.2,11798.7,18144.170000000002,0.5176610644257702,51.76610644257702,High Risk
299.2,310.0,1349,50.4,226,67989.59999999999,11390.4,15624.0,0.5142943908852267,51.42943908852266,High Risk
298.8,310.5,1294,55.8,202,72205.2,11271.599999999999,17325.899999999998,0.4859943977591036,48.599439775910355,High Risk
297.3,308.1,1369,52.0,214,71188.0,11128.0,16021.2,0.4803915495432567,48.03915495432567,High Risk
297.3,308.2,1396,52.7,212,73569.2,11172.400000000001,16242.14,0.46694677871148454,46.69467787114846,High Risk
299.0,310.2,1377,62.5,92,86062.5,5750.0,19387.5,0.432791903317667,43.2791903317667,High Risk
300.8,312.0,1274,67.3,159,85740.2,10700.699999999999,20997.6,0.4276610644257703,42.766106442577026,High Risk
297.4,308.4,1369,50.6,220,69271.40000000001,11132.0,15605.039999999999,0.4167212148017101,41.67212148017101,High Risk
299.1,310.1,1435,48.8,229,70028.0,11175.199999999999,15132.880000000001,0.4086274509803921,40.86274509803921,High Risk
299.0,310.2,1690,30.7,244,51883.0,7490.8,9523.14,0.3390896358543417,33.90896358543417,Warning
300.8,312.0,1422,50.7,219,72095.40000000001,11103.300000000001,15818.400000000001,0.3341021671826625,33.41021671826625,Warning
300.7,311.9,1399,50.2,222,70229.8,11144.400000000001,15657.38,0.29296992481203005,29.296992481203006,Warning
298.9,310.6,1519,38.8,213,58937.2,8264.4,12051.28,0.23704781352630638,23.70478135263064,Warning
299.3,310.7,1374,48.9,222,67188.59999999999,10855.8,15193.23,0.23213223591130658,23.213223591130657,Warning
299.1,310.1,1570,30.9,226,48513.0,6983.4,9582.09,0.2201127819548872,22.01127819548872,Warning
298.3,309.1,1417,60.5,143,85728.5,8651.5,18700.550000000003,0.21958743011374587,21.958743011374587,Warning
300.8,311.8,1323,61.1,178,80835.3,10875.800000000001,19050.98,0.20525748761042878,20.525748761042877,Warning
298.5,309.0,1531,30.8,212,47154.8,6529.6,9517.2,0.1973266499582289,19.73266499582289,Healthy
300.9,312.0,1493,38.7,217,57779.100000000006,8397.900000000001,12074.400000000001,0.1972367473994508,19.72367473994508,Healthy
299.1,309.9,1586,36.6,215,58047.600000000006,7869.0,11342.34,0.17297528586807295,17.297528586807296,Healthy
299.1,310.3,1619,35.2,240,56988.8,8448.0,10922.560000000001,0.16525828731193132,16.525828731193133,Healthy
298.6,309.8,1597,35.9,213,57332.299999999996,7646.7,11121.82,0.15845079977077084,15.845079977077084,Healthy
298.8,308.6,1500,37.1,210,55650.0,7791.0,11449.060000000001,0.14479363042280047,14.479363042280047,Healthy
298.3,308.1,2636,12.8,84,33740.8,1075.2,3943.6800000000003,0.13612878349720453,13.612878349720454,Healthy
299.1,310.3,1619,31.1,242,50350.9,7526.200000000001,9650.33,0.13549303246688232,13.549303246688233,Healthy
299.2,310.3,1610,33.3,233,53612.99999999999,7758.9,10332.99,0.1338731443994602,13.387314439946019,Healthy
300.6,311.9,1425,44.9,224,63982.5,10057.6,14004.309999999998,0.13209742851400186,13.209742851400186,Healthy
299.4,310.7,1426,45.7,213,65168.200000000004,9734.1,14198.99,0.11601600154231732,11.601600154231733,Healthy
297.5,308.4,1505,37.2,215,55986.00000000001,7998.000000000001,11472.48,0.11312813026838782,11.312813026838782,Healthy
297.7,308.9,1327,63.7,21,84529.90000000001,1337.7,19676.93,0.10849720454983611,10.849720454983611,Healthy
299.1,310.3,1838,24.0,235,44112.0,5640.0,7447.200000000001,0.09503950967974951,9.503950967974951,Healthy
299.2,310.7,1737,27.0,225,46899.0,6075.0,8388.9,0.09503950967974951,9.503950967974951,Healthy
299.0,309.7,1418,44.7,209,63384.600000000006,9342.300000000001,13843.59,0.09375156385234772,9.37515638523477,Healthy
299.0,310.0,1484,39.6,212,58766.4,8395.2,12276.0,0.09269855657484538,9.269855657484538,Healthy
299.1,310.5,1389,61.4,64,85284.59999999999,3929.6,19064.7,0.09100815469654683,9.100815469654682,Healthy
299.4,310.8,1622,33.6,217,54499.200000000004,7291.200000000001,10442.880000000001,0.09057696067774454,9.057696067774454,Healthy
297.6,308.6,1326,62.4,173,82742.4,10795.199999999999,19256.64,0.08555957879530895,8.555957879530895,Healthy
298.9,310.6,1615,33.0,221,53295.0,7293.0,10249.800000000001,0.08193498536910257,8.193498536910257,Healthy
298.9,310.7,1638,33.6,218,55036.8,7324.8,10439.52,0.08193498536910257,8.193498536910257,Healthy
298.4,309.3,1542,35.4,208,54586.799999999996,7363.2,10949.22,0.08029386898226111,8.029386898226111,Healthy
299.3,310.0,1373,44.8,221,61510.399999999994,9900.8,13888.0,0.07763631184318162,7.763631184318162,Healthy
298.6,309.9,1517,34.0,215,51578.0,7310.0,10536.599999999999,0.07711926580765793,7.711926580765793,Healthy
298.6,309.1,1587,37.3,203,59195.1,7571.9,11529.43,0.07711926580765793,7.711926580765793,Healthy
299.0,309.9,1548,34.5,214,53406.0,7383.0,10691.55,0.07711926580765793,7.711926580765793,Healthy
297.4,308.4,1620,35.8,215,57995.99999999999,7696.999999999999,11040.719999999998,0.07482448107448107,7.482448107448107,Healthy
298.9,309.7,1407,41.9,207,58953.299999999996,8673.3,12976.429999999998,0.07167068990642007,7.167068990642007,Healthy
298.6,309.6,1353,62.5,9,84562.5,562.5,19350.0,0.06847729049901596,6.847729049901597,Healthy
297.3,308.1,1615,35.4,217,57171.0,7681.799999999999,10906.74,0.06093559218559218,6.093559218559218,Healthy
297.3,308.1,1642,36.9,206,60589.799999999996,7601.4,11368.890000000001,0.06093559218559218,6.093559218559218,Healthy
298.9,309.8,1392,43.1,218,59995.200000000004,9395.800000000001,13352.380000000001,0.05899735961457542,5.899735961457542,Healthy
297.1,307.8,1406,60.4,133,84922.4,8033.2,18591.12,0.05735624322773396,5.735624322773396,Healthy
299.0,310.2,1412,44.1,246,62269.200000000004,10848.6,13679.82,0.05735624322773396,5.735624322773396,Healthy
298.6,309.7,1280,64.1,71,82048.0,4551.099999999999,19851.769999999997,0.05735624322773396,5.735624322773396,Healthy
297.4,308.4,1328,61.8,98,82070.4,6056.4,19059.12,0.054181640053130774,5.418164005313077,Healthy
299.1,310.1,1336,61.3,94,81896.8,5762.2,19009.13,0.05378388552659221,5.378388552659221,Healthy
301.0,312.0,1499,34.6,207,51865.4,7162.200000000001,10795.2,0.05127731793183441,5.127731793183441,Healthy
298.8,310.6,1602,39.1,211,62638.200000000004,8250.1,12144.460000000001,0.04832528936803708,4.832528936803708,Healthy
297.4,308.2,1297,52.1,211,67573.7,10993.1,16057.22,0.04814550187411969,4.814550187411968,Healthy
298.7,309.6,1442,55.6,194,80175.2,10786.4,17213.760000000002,0.045539664744488804,4.55396647444888,Healthy
298.5,309.7,1561,35.3,208,55103.299999999996,7342.4,10932.409999999998,0.045539664744488804,4.55396647444888,Healthy
298.6,309.8,2271,16.2,218,36790.2,3531.6,5018.76,0.045539664744488804,4.55396647444888,Healthy
298.3,309.1,1386,45.3,212,62785.799999999996,9603.599999999999,14002.23,0.045539664744488804,4.55396647444888,Healthy
298.8,309.9,1331,61.6,46,81989.6,2833.6,19089.84,0.045539664744488804,4.55396647444888,Healthy
