File,Bearing_1_RMS,Bearing_1_Peak,Bearing_1_STD,Bearing_1_Kurtosis,Bearing_1_Crest,Bearing_2_RMS,Bearing_2_Peak,Bearing_2_STD,Bearing_2_Kurtosis,Bearing_2_Crest,Bearing_3_RMS,Bearing_3_Peak,Bearing_3_STD,Bearing_3_Kurtosis,Bearing_3_Crest,Bearing_4_RMS,Bearing_4_Peak,Bearing_4_STD,Bearing_4_Kurtosis,Bearing_4_Crest
2004.02.12.10.32.39,0.07417899856512623,0.454,0.07347493104305139,0.6287626426442561,6.120330670161392,0.09094388696428075,0.513,0.09005347464156378,0.5068005370841773,5.640840930864178,0.10940413919878957,1.023,0.1084335093891218,3.213074668222574,9.350651698298067,0.05410346803954669,0.264,0.053166390209175525,0.06595905114862788,4.879539326518411
2004.02.12.10.42.39,0.07538245681139528,0.388,0.0753381212895155,0.6482910813108549,5.147086157867801,0.09341888819652586,0.481,0.09338377948549795,0.25301376937623843,5.1488516860542966,0.10981733168262023,0.752,0.10978975747066876,1.3952499379815348,6.847735129581664,0.05610085870694182,0.249,0.05597311878927794,0.10753933160081752,4.43843473592302
2004.02.12.10.52.39,0.07622977446919937,0.503,0.07618929279925164,0.5134753088232071,6.5984715749518195,0.0937178978891739,0.503,0.09370256028304727,0.3107892284776641,5.367171173587597,0.10986104971344769,0.933,0.10984946406227854,2.639947862656676,8.492545833428304,0.0561452192491155,0.354,0.056036933972309466,0.25723641276594833,6.305078237014397
2004.02.12.11.02.39,0.07872367646602975,0.608,0.07869075089989289,1.1579527230048088,7.723216537814511,0.09294709910708282,0.569,0.09291629369506169,0.23534074042490039,6.121761792097077,0.11066653439923697,1.016,0.11062175306716923,2.6827791177441718,9.1807338642657,0.05680743024340545,0.525,0.05668413146164363,0.8061900787493554,9.24174879501692
2004.02.12.11.12.39,0.07847429073677968,0.391,0.07843746411081778,0.6031769286310373,4.982523528775831,0.09534796855424806,0.486,0.09533522183796074,0.22630879489770805,5.097119606942555,0.1075055998723148,0.771,0.10749935762927612,1.5783946520336096,7.171719435226839,0.05684094146786386,0.244,0.05677665581598089,0.1389537967943335,4.292680481690301
2004.02.12.11.22.39,0.07831464139380724,0.439,0.07829782000144751,0.45609362146286436,5.605592928562067,0.09240471945595839,0.574,0.09239330152210343,0.18563759722622342,6.211803935767348,0.11051722747318346,0.862,0.11051402335158535,1.8624281531683406,7.7996889689361835,0.05556592676089255,0.247,0.05549422955454487,0.149407338377193,4.445170168093719
2004.02.12.11.32.39,0.07863244325857172,0.408,0.0786160318654578,0.4786149756059883,5.18869798638139,0.09391848531980072,0.583,0.09390317165909588,0.25010839555129794,6.207510672843941,0.10738791213109138,0.896,0.10737186617198397,1.8220329786922909,8.343583390523769,0.05627907668624504,0.239,0.056204057936255214,0.10779375483252895,4.246693692798502
2004.02.12.11.42.39,0.07777288022464836,0.415,0.0777464696757907,0.4719824550317817,5.336050289011607,0.09324051612714428,0.41,0.09322421104069581,0.10375044921415588,4.397230056523039,0.10623263552958902,0.776,0.10621897924323723,1.4448963659987744,7.3047232249439995,0.05550468422307368,0.229,0.055455756546808586,0.20979100466934808,4.125777908755368
2004.02.12.11.52.39,0.07902942984262255,0.386,0.079006195433606,0.404514320897305,4.884256419015951,0.09585924383650357,0.613,0.0958558973952684,0.4514264068174758,6.394792776015694,0.11058641872246056,0.967,0.11057860941703186,2.3845540569234336,8.744292573818544,0.05585509861253156,0.33,0.05579735616208933,0.15983731154509462,5.908144613425886
2004.02.12.12.02.39,0.07571755989830316,0.378,0.0756885263166923,0.32520331504832,4.992236946194446,0.09474187125009063,0.466,0.09472631335134539,0.19603235889333703,4.918627781478976,0.10977074854590418,0.781,0.10975436897591824,1.4615057334105144,7.114828042494396,0.0554596132439803,0.291,0.055390229807381675,0.206106647540921,5.247061473721794
